id_way,node_id,cross_ways
26155593,"{8188204871, 8400068779, 330818637, 1588418811, 8405263792, 286416028, 286415954, 286415955, 8400068788, 7404118519, 286416026, 286416027, 1588716156, 286416029, 286416030, 1495302911}","{30038600, 30040361, 136294413, 865293037, 30037591}"
30040361,"{330818640, 1588417383, 1588314953, 330818666, 330818638, 330818639}",{30040359}
136294413,"{330782147, 330821237, 1591083654, 8137002044, 8298797837, 330785662}",set()
30037591,"{4052668961, 4052668971, 330785476}",{145739590}
137135113,"{1588444245, 5255271734, 286416135}","{26155618, 516273483, 136294413}"
26155618,"{10096786242, 286416135, 286416136, 286416137, 286416138, 286416139, 286416140}","{516271680, 516271681, 30040358, 145425896, 137135113, 136294413}"
145425896,"{1588315011, 1588420989, 8188197755}",{145412815}
30040358,"{286416140, 1588315045}","{516271680, 516271681, 26155618, 516273481, 516273482}"
516271680,"{1588315046, 8087533270, 1588315049, 286416143}","{30038628, 145412841, 145412900}"
26155625,"{286416176, 286416166}","{484866657, 26155623}"
26155623,"{286416166, 286416167}",{26155625}
484866657,"{286416176, 1588119754, 286416170}","{26155625, 484866658, 30038777}"
26165067,"{330792960, 330792961, 1594270978, 330792962, 330792964, 330792965, 1594270982, 330792967, 330792966, 1594270989, 286512590, 1594270991, 286512591, 286512589, 1588988957, 1594271005, 286512607, 286512608, 1594270955, 1588973805, 1592550509, 1594270962, 330792948, 1594270965, 1594270969, 330792955, 1594270972, 330792958, 330792959}",set()
145641284,"{1590154917, 1590154885}",{26165077}
145641266,"{1590154763, 1590154710}",{26165077}
157310434,"{8200866725, 1588585925, 1593055629, 1588511629}",{157310425}
26476667,"{1835390592, 1835390593, 286514147, 286514148, 1835390597, 1835390595, 1835390600, 1835390602, 283921996, 1588445680, 6887596627, 1592986419, 285899451, 1592986334, 285899455}","{26165210, 38237486}"
26165210,"{1592986401, 1592986341, 1592986378, 1592986347, 286513964, 283921996, 1589504846, 283922708, 1592986422, 286513919}","{837149881, 26476667, 26165244}"
26165244,"{8247362752, 8100821572, 1592986309, 283923845, 3277878788, 1590854345, 3277878795, 1592986316, 8195927503, 4036128274, 283923155, 283922708, 1592986325, 1592986323, 8195927509, 283923290, 2776592229, 1589504745, 1589504873, 3219742134}","{837149881, 26165210, 401161029}"
401161029,"{10033765952, 10033765953, 9454429285, 4036119878, 9454429287, 4036128270, 4049581753, 8100821591, 3219753849}","{276958756, 367400166}"
26165252,"{1590359401, 1592986572, 286514093}","{837149880, 837149879}"
837149880,"{1592986480, 286514092, 1589504793, 286514089, 1589504730, 1592986539, 1588511644}",{837149881}
857613992,"{7995723240, 7995723233}","{26165288, 142796072, 884145896, 857614000, 857614002}"
26165288,"{7995723233, 330791100, 7995723272, 330791102, 1562654924, 1562654926}","{857613992, 142796072, 884145896, 446055403, 857614002, 30037811}"
142796072,"{290161280, 1589135297, 3499351122}",{857614001}
884145896,"{7995723233, 330791101, 7995723273}","{857613992, 857614002, 26165288, 142796072}"
857614000,"{7995723240, 1588521782}","{857613992, 590430066}"
446055403,"{1589086827, 330791100, 1259330807}","{26165288, 30037811, 362550419}"
30037811,"{330791249, 1588521866, 1588521951}","{30037778, 884567982}"
884567982,"{330791249, 330791250, 330791251, 1588464785, 330791252, 1588464799}",{30037811}
26165436,"{286516352, 8402611540, 1588439189, 1588439190, 286516361, 1515016138, 1588464813}","{26165438, 884567982}"
26165438,"{1588438948, 286516357, 989861098, 1515016138, 989861099, 8095512269, 8095512270, 989861006, 989861100, 1588708570}","{145479883, 26165436}"
145479883,"{1588504188, 989861100, 989861101}","{85382137, 26165438, 145464567}"
442013126,"{1589874912, 1271954010}","{442013129, 588309004}"
38237486,"{7755275829, 7549192070, 450679721, 1590520170, 1590520174, 285899455}","{832191299, 26476667}"
442013127,"{345218769, 1271954011}","{445644497, 459156950}"
459156950,"{1271954011, 4550684991}","{442013128, 442013127}"
884168060,"{8074500739, 1589751845, 330696239}","{30031771, 859505884, 859505885, 145691151}"
30031771,"{4049653360, 5082918673, 8110035808, 330695841, 8074500741, 8183139179, 330696239}","{145691151, 521958937, 145629947, 884168060, 859505885}"
521958937,"{8086783749, 8110054118, 8110035816, 5285086121, 8183139197, 330695838}",{30036784}
145629947,"{330775570, 1590074924, 1590074846}",{30036663}
145593694,"{1589742625, 8110054178, 8011632243, 330933143, 1588314537, 1588258047}",{145603820}
145593693,"{1587484256, 330935412, 7943477621, 1589762453}","{744526321, 30031819}"
30037705,"{1590604480, 1587484920, 6311068098, 330789540, 1590431077, 330789545, 1589165578, 1590431055, 1590604376, 1589818141, 1589165407}","{624686568, 145674428, 145674438}"
30031784,"{1589762016, 1589761988, 330697301, 8100821685, 2708738021, 10060174984}","{30037705, 145593693, 145593694}"
30031801,"{8100821477, 345225973, 330780374, 8198130456, 330784380, 330784381, 330784382, 1591496159}","{145760185, 884268461, 145666295}"
145663341,"{1591366176, 1591366167, 1591366181, 1590340359, 8117669163, 1591366187, 1590340399, 1591495956, 8150336725, 1591366199, 1591495961, 1590340348}",{75720784}
145666295,"{10062799010, 1590365897, 330784381, 1590365903}","{30031801, 145663347, 884810745}"
145760185,"{330948848, 1590340528, 330948851, 330780374, 1607259639, 1591113962, 8182312812}","{30031801, 145663347, 884810745}"
884810745,"{330948848, 1591496608, 893961334, 893961384, 1590365897, 1590340430}","{75720787, 145666295, 75720760, 145760185, 884810746}"
30031819,"{8110054149, 1588402856, 1588402857, 1590342700, 8105327002, 7943477619, 330935412, 1588366228, 6212408500, 6311067961, 330935418, 6311067963, 8657429406, 8110054143}","{663717064, 744526321, 145593693, 30047303}"
30047303,"{330792289, 8105326967, 1590347112, 1590338427, 330948391}","{145661617, 145661426, 145661427}"
663717064,"{6212408500, 1588366231}","{663717065, 30031819}"
663717065,"{1588366231, 8110054151, 6212408506, 6311067965}",{663717064}
321808983,"{869880788, 330790030}","{30032067, 111681241, 145587413, 883623352, 883623353}"
30032067,"{8011574184, 1589086891, 330790030, 330790032, 8212244369, 893961362, 893961361, 330790196, 8945032918, 8011597691}","{883623353, 782610299, 362550509, 321808983}"
883623353,"{330790017, 330790020, 1589092869, 330790022, 330790025, 330790027, 8011597708, 3285793908, 8099415863}","{321808977, 362550364}"
111681241,"{4792644965, 8100821606, 1271858599, 1620014091, 3713233068, 8110011021, 8011626798, 3285744849, 1595226739, 5560323476, 5560323477}","{486691218, 276958756}"
883623352,"{3285793905, 3285793906, 3285793907, 869880793}","{321808977, 321808980, 321808981, 486491742}"
145587413,"{869880787, 8011574183, 1595226715, 1595226783}",{884186808}
362550509,"{8247362753, 2776592228, 7308440454, 7308440455, 330790664, 3292345897, 8192630378, 286514640, 8195927504, 7308440475}",set()
30036663,"{1590075143, 1590075145, 1590074894, 330775570, 1590075156, 1590074902, 1590317015, 1590317016, 7950463585, 330775404, 330775405, 330775406, 330775407, 330778030, 8111282352, 330778033, 958720442, 330778036, 10074634297, 10074634298, 10074634299}",{145629947}
75739292,"{330775600, 8256818073}",set()
744526318,"{1591025445, 1504231656, 286416376, 1504231629, 8194083087, 8194083088, 1590930482, 8074500757, 8198130488, 330779673, 1591024569, 330779676, 1591024665}","{119419490, 516271686}"
145392199,"{330802544, 286416377, 8183134485}","{484866658, 30038818, 744526319}"
30038824,"{330802608, 1589807635, 330802553, 1590316971}","{30038830, 145392199}"
30036699,"{1588315051, 286416380, 330817925}","{516271680, 516271684, 516271685, 516271686, 145737727}"
145412841,"{1588315028, 8403895431, 1588315017, 1588314959}","{30038600, 30038627, 30038764}"
516271685,"{330775623, 1588137415, 330775625, 330775626, 8198130461}","{145393144, 30038777, 30038818, 145393886}"
516271684,"{286416379, 286416380}","{516271683, 30038628, 516271685, 516271686, 516273484, 30036699}"
30038628,"{330818178, 330802117, 8087533291, 8087533292, 1588315055, 286416143, 1588315029, 330799446}","{516271680, 30038627, 30038764, 145412815, 145737727}"
516273484,"{1588444256, 8074500737, 286416379}","{516504002, 516271683, 30038628, 516271684, 145428885}"
516271683,"{1588137347, 330802262, 330818183, 330818184, 330775624, 8194086061}","{145393144, 30038777, 30038818}"
30048528,"{8176495682, 1588575908, 1588401542, 8222509558, 330947415, 330947416, 1588575901, 1588401598}","{30036784, 145589362}"
145566146,"{1341932025, 330779459, 330978657}","{145566145, 30036938, 30050549, 30050551}"
30050549,"{8400184481, 1589572546, 1589572545, 1589572552, 1589572554, 8400184472, 1589572537, 1589572540, 1589572541, 1589572542}",set()
30036938,"{330779456, 330779457, 8243584960, 330779459, 330779340, 1589840757, 1341932024, 330779455}","{145566146, 145597379, 137291014, 30041066, 30036989, 30050549, 30050550, 30037981}"
137291014,"{1341937810, 8243584968, 1505984328, 1589839916}","{145597376, 30041152, 30038564}"
145597379,"{1589840936, 1589840757}","{30036938, 30041068}"
30041068,"{330826819, 8243584965, 330826789, 330792759, 1589840936, 330826798}","{30041066, 145597379, 30037981, 30050551}"
30037981,"{8243584961, 8243584966, 1590058185, 330779340, 8105326957, 330792757, 330792759, 330792760, 1589993306, 8703932445}","{30038564, 30036938, 137291018, 30041068, 145619309, 30050550, 30036989}"
30036989,"{8194086080, 8243584963, 330779300, 330779336, 330779338, 330779339, 330779340, 1590634989, 1589653360, 8325409777, 1589392947, 1589391189, 8944712601, 8194086078, 330813791}","{119419490, 30038569, 30036938, 30038572, 30050550, 30923094, 145517851, 30037981, 30038558}"
484866736,"{330779066, 330779101}","{484866737, 30036946, 145620734, 30050550}"
30036946,"{330779066, 330779067}","{484866736, 892484564}"
30050550,"{8243584962, 330779340, 8118434489, 1341951404, 330779101}","{145619308, 484866736, 484866737, 30037981, 30036989, 145620734}"
484866737,"{330779256, 330779257, 330779255}","{145517851, 30038558, 30036971}"
145620734,"{1589993505, 8697244660, 7106877161, 1589993497, 9298389245}","{760753787, 145619309}"
892484564,"{10096657739, 330779067, 330779130}","{30036946, 469335019, 30036947, 145610502}"
469335019,"{1590075605, 330779130, 1589919790, 8944712607}","{30036947, 892484564, 145610502}"
145610502,"{330779130, 8086586995, 1589993822}","{469335019, 892484564, 30036947}"
30036947,"{330791939, 290161284, 1593781637, 8086587014, 330791942, 1590347146, 8110054159, 330791951, 330791954, 330779157, 330779158, 330779159, 1591049372, 8944712606, 1590353059, 1588455972, 6311067941, 1591390885, 6311067944, 1590151464, 1590006829, 8393001902, 330779130, 8310511796, 330948405, 989837242, 8246389442, 8246389443, 1589932740, 1515041608, 1503703498, 1590382667, 1515041740, 1524436473, 8253545560, 1593139928, 1515041628, 1590006753, 1590382690, 1515041642, 6365100142, 1259331058, 1590371059, 330791666, 10093934585, 8086587002, 8086587005}","{145754243, 145610502, 30048823, 138207174, 663717063, 137084232, 137084231, 30050122, 138207179, 138207180, 138207175, 138207178, 892484564, 145621208, 145621209, 139076826, 624693982, 469335019, 145661426, 145661427, 145661428, 590430068, 145661430}"
145621209,"{1590353032, 1590353033, 1590353034, 1590353035, 1590006829}",{30036947}
145621208,"{1590006848, 1590006851, 1590006852, 1590353091, 1590006854, 1590006856, 1590006858, 1590006859, 1590006861, 1590006862, 1590006863, 1590006865, 1590006868, 330779157, 1590006870, 1590006871, 1590006872, 1590006875, 1590006877, 1590006879, 1590353125, 1590353073, 1590353075, 1590353078, 1590353083}","{624693987, 30036947, 30048823}"
30048823,"{330779157, 1589932743, 1589932744, 330948906, 330949239, 330949278}","{145621208, 30036947}"
145661427,"{8246768901, 330948395, 330948396, 8110035789, 330948401, 1590371186, 8107345234, 8107347186, 1590315157, 1590315158, 1590315159, 1590315156}",set()
145661430,"{6311067947, 7990838359, 8011600263, 7990838344, 7990838345, 330948410, 10094452299}","{624693987, 30037028, 145661431}"
663717063,"{330975737, 330975741, 1588239407}","{503673486, 146268927}"
30050122,"{330792384, 1515041603, 1515041604, 1515041608, 1593451784, 330972296, 1515041614, 8944737070, 1593451795, 330969300, 8243584984, 8243584986, 1593451836}","{30037028, 138207176, 138207177, 30036947, 85383027, 146268927}"
145754243,"{8402611530, 1591049685, 1591049734}",{30037028}
137084232,"{1588543613, 1503703470, 1588543615}",{30037869}
138207179,"{1593139779, 1593139573, 1515041638, 1515041640, 1515041641, 1515041628}","{884156904, 138207177, 30036947}"
138207180,"{1593140239, 345223933, 1515041639}",{30037869}
138207175,"{1515041642, 330792388, 1590101991}","{857614018, 30036947, 138207180}"
138207174,"{1588481856, 330791954, 1588481867, 1515041709}","{857614018, 30036947}"
857614018,"{330792388, 330792389, 290161285, 1515041641, 6365114907, 9087421372, 1515041709}","{138207174, 884156904, 142796073, 138207178, 138207179, 590430068, 503673631}"
138207178,"{1588527698, 1588527701, 330792389, 1515041740, 1515041741}","{857614018, 30036947}"
590430068,"{6365114906, 290161285, 1515041743}","{142796073, 857614018, 503673631}"
145437580,"{1590003014, 7689036490, 7689036491, 7689036492, 7689036493, 7689036494, 7689036495, 7689036496, 7689036497, 7689036498, 7689036499, 7689036500, 7689036501, 7689036502, 1590002975, 1590003040, 330792755, 1590003068}","{145622801, 137291018, 137291012, 30036970}"
137291018,"{330828226, 330792756, 330792757}","{30041152, 30038564, 30037981, 30041172}"
137291012,"{330792755, 1589704229, 330828233, 1505984347}","{137291011, 137291018, 30036970, 145437580, 484866803}"
30036970,"{330792755, 1590003150, 330779463, 330779464, 1590003002, 1590002924, 1590003102}","{137291018, 145437580, 137291012, 145620734}"
137291016,"{1505984368, 1505984339, 1505984344, 1505984346, 1505984446}","{137291011, 137291017, 137291018, 145622797, 145622800}"
145622800,"{1505984446, 1590002951}","{137291016, 137291018, 145622797}"
145622797,"{1590003040, 8410779955, 1505984446}","{137291016, 145622800, 137291018, 145437580}"
137291011,"{1505984368, 1505984347, 1505984395}","{137291016, 137291012}"
580680549,"{1505984552, 5558136793, 5563236748, 8243584974}","{137291013, 145620734}"
137291013,"{1505984552, 1505984485}","{145622794, 580680549, 145620734}"
145517851,"{330798824, 330978630, 330795142, 330795143, 1589593882, 1589675071}","{30050549, 119417447, 30050551}"
30036971,"{330779257, 330779259}","{484866737, 145517851, 30036974}"
30038571,"{1589341586, 330799097, 1590089625, 330779292, 343720191}","{145517840, 30038569}"
30036974,"{1589342835, 330799060, 330799061, 330799059, 330779288, 330779259}","{145517840, 30038569, 30036971}"
145517840,"{1589341586, 1589341622, 1589341655}",{30038571}
30038569,"{330779300, 8325409782, 330779295}","{30921721, 30036989}"
145619308,"{330799010, 1589993347, 1589993348, 1341951404, 330779258, 9128959577, 1590058298, 1590635387, 1590741150}","{145619309, 30050550, 30038558}"
30923094,"{9336811505, 330813779, 330813781, 343737961, 330813788}","{30041001, 30038037}"
119419490,"{330775034, 330779676, 8325409797}","{744526318, 30038830}"
30038572,"{1589504267, 330779336, 330799097, 330799098, 1589923707, 9336811486}","{119419490, 30038571, 30923094, 30921721, 30036989}"
30037028,"{330792384, 330792385, 330792386, 1591049734, 8011600265, 1515041617, 1515041623, 8243584987, 1589975004, 8243584988, 1524436507, 330792383, 1591386415, 1591386418, 8118434485, 1589975094, 8118434486, 1591491958, 330948410, 9747858814, 1590151551}","{624693987, 145754243, 663717063, 137084231, 884156904, 30050122, 145661430, 145661431, 139076826, 145788219}"
145661431,"{8011600274, 6294784999, 330792550, 1589974919, 330948411, 8011600252, 641227023}","{145661432, 30050181, 138292406}"
145661428,"{1590353187, 8011600264, 330779594, 6311067946, 7990838347, 1590353198, 1590353200, 1590353204, 1590353205, 330779158, 1590315162, 8256222239}","{145661432, 145661426, 30036947, 624693987}"
145661432,"{8011600275, 1590350516, 4049536020, 330792550, 641227175, 8011600253}","{30050181, 138292406}"
138207176,"{8110054165, 1515041589, 1591491959, 1515041614, 1515041615}","{30050122, 145788219, 138292406, 663717063}"
145788219,"{330792385, 8118434484, 330969304, 1515041615}","{138207176, 30037028, 145583671}"
139076826,"{1591229073, 1591229074, 1591229078, 1524436473, 1524436507}","{884156904, 30036947, 30037028}"
30037314,"{330782146, 1591083812, 8354004678, 1591083910, 330822502, 1591083817, 1591015948, 1591083918, 330782514, 1591083830, 1591083738, 1591083901, 4052675903}","{136294413, 145739590}"
145739590,"{10100347298, 4052668972, 1591034605, 1591427408, 4052668976, 1590944501, 1591427415, 1590944668}",set()
38237481,"{330783161, 285899257}","{34320312, 30037761, 30037381}"
30037761,"{285899257, 285899219, 9203613774}","{38237481, 884268459}"
145569873,"{1589627012, 4053921733, 1589627172, 1589627015, 330783447, 1589627085, 1589627087, 1589627058, 1589627188, 3726927511, 3726927515, 8190852444, 1589627133, 3726927518}",{145463691}
145463691,"{894189346, 330783447}","{145569873, 884810749}"
50434294,"{894189338, 894189355, 330783775}","{145463690, 75739285}"
75739285,"{894189288, 8122588569, 894189338, 894189342}","{145463690, 50434294}"
857896812,"{330788162, 330783708}","{851764808, 851764810, 75739285, 30037439}"
851764810,"{8168433041, 1589575122, 8168432984, 330784308, 330784311, 8095325736}","{786570928, 851764809, 30038792, 523951636}"
30037439,"{8243222978, 8243222981, 330783688, 8060778188, 8243226829, 8243226832, 330783697, 330783698, 330783699, 330783700, 330783701, 330783702, 330783703, 330783704, 330783705, 330783706, 330783707, 8243223004, 330783708, 894189341, 8232832604, 8232832608, 7944422945, 8243223015, 330783696, 4941365653, 894189304, 8074500732, 330783679}","{30037552, 851764810, 851764811, 857896812}"
851764808,"{8100821456, 3897536011, 3897536013, 330788159}",set()
30037552,"{4941365648, 3726927521, 1503688795, 330783820, 330785087}","{523951636, 137082333}"
851764811,"{7944422945, 8074496513, 8167647846, 330783671, 8074500728, 8167647855}","{851764812, 30037439}"
884268461,"{1591112787, 345225973, 1591495963, 330784365, 1590340414}","{30037474, 145760198, 145663341, 30031801, 884810746}"
145760198,"{1591113897, 1591113962, 1591112787}","{145760185, 30037474, 884268461, 145760231}"
30037474,"{1591365604, 330784363, 330784364, 1591365581, 1591112787, 8168432980, 330784308, 8292203991}","{145760198, 851764809, 851764810, 884268461, 75720788, 523951636}"
75720788,"{893961345, 893961332, 893961385, 1591366025, 330784364, 893961341}","{75720784, 30037474, 75720765}"
75720765,"{893961345, 1590340403, 1591497028, 1590340503, 1590340313, 893961370}","{75720760, 145663347, 75720788, 145663341}"
851764809,"{330780386, 3726927844, 3726927846, 8100821464, 5099730892, 3726927838}",{50434293}
892484565,"{10062952128, 6340990652}","{485101720, 30037488}"
485101720,"{5040187493, 1590627848, 291771273, 1590627859, 8295422647, 1590627928, 1590627868, 8174544957}","{438912914, 145691165}"
30037488,"{8192528407, 6340990651, 6340990652, 8174544956}","{485101720, 892484565}"
884186806,"{1590038338, 10063031586, 1592809798}",{145691165}
145691155,"{8401650304, 330697145, 8193017149}",{30047409}
30037520,"{1590605200, 1590038359, 1588593436, 330697151}","{882869162, 145603820, 145691155, 321808981, 884186806}"
882869162,"{8100821638, 1590431343, 1590431344, 4053971893, 8243251574, 1589106204, 1589106206, 1590605215}",{884177613}
321808981,"{330705872, 9910463666, 3285793907, 330705875, 330705878, 8194301001, 330705865}","{883623352, 321808977, 486491742}"
145603820,"{1589817216, 8169212135, 330937800, 1589656747, 1589817199, 8193017136, 8011632241, 8193017138, 330933143, 10076586711, 8408683929, 1590604413, 330789374, 1589817887}",set()
137082333,"{1503688800, 1503688801, 8243226821, 1589574823, 8168433037, 1503688799, 1503688797, 1503688798, 8243223007}",{851764810}
30038777,"{1588444289, 1588444290, 1588444292, 1588119749, 330775625, 1588119754, 1588444300, 1588444304, 330802262, 1588128119, 1588444287}","{484866657, 484866658, 516271683, 516271685, 145428879, 145428880, 145428881, 145428884, 145428885, 145428887}"
30037576,"{286416064, 1588444259, 1590029511, 1590340456, 8188197748, 330785304, 330785305, 8194086074, 1588444254}","{30038818, 145428889, 516273483, 516273482, 145428882, 30038777}"
30038818,"{1588444275, 1588444276, 330785302, 330775623, 330775624, 286416377}","{516271683, 516271685, 145428880, 145428884, 145428885}"
145428881,"{1588444273, 1588444257, 8198130467, 8188197749, 1588444247, 1588444302, 1588444287}","{30038818, 677243205, 516273480, 145393144, 30038777, 145393887}"
145428889,"{1588444259, 1590030062, 1588444255}","{30037576, 145428883}"
145428882,"{1588444251, 1588444254}","{30037576, 145428883}"
516273483,"{286416064, 1504231547, 1588444245}","{30037576, 516273482}"
516273482,"{286416064, 8074500793, 1588315045}","{30037576, 516273481, 516273483}"
30037593,"{8141332928, 4049512322, 8186377859, 4049512323, 4049512515, 4049512330, 10111021262, 8186370512, 8118434513, 8064316113, 8087533267, 8186377944, 8118435417, 8118435418, 1590314524, 1588715997, 330785635, 9125896229, 330785577, 1588716652, 1588716462, 1588716271, 4049512754, 8254158515, 1590314419, 1590314876, 1495302909, 8186370493}","{145663577, 30040634, 136294413}"
30040634,"{1588483905, 8064333381, 1588483975, 1588483986, 1588483926, 1588483897, 1589846813, 1588484129, 330785635, 1589845092, 330821735, 330821739, 330821742, 330821743, 330821744, 330821745, 330821746, 8194086003, 1588483887, 1588484150, 1588484087, 1588484025, 8194086012}","{145433441, 145433474, 145433442, 145433485, 30037593, 145433425, 145433424, 145433427, 145600280, 145663577, 145433467, 145433439}"
145716554,"{1590852226, 1590851652, 1590851781, 1590851787, 1590851467, 1590877017, 1590852378, 1590852508, 1590851548, 1590851678, 1590851745, 1590851490, 8169362090, 8169362091, 1590851501, 1590851954, 1590851508, 1590851575}",set()
